Status,FigmaText,FigmaName,FigmaId,DomTag,IssueProp,Expected,Actual,IssueMessage,ScreenshotPath
DIFFERENT,Resolved,Resolved,42:124,p,width,628,100.734375,"Width mismatch: expected 628px, got 100.734375px",artifacts/issue-shots/issue-42-124.png
DIFFERENT,Resolved,Resolved,42:124,p,height,26,32,"Height mismatch: expected 26px, got 32px",artifacts/issue-shots/issue-42-124.png
DIFFERENT,0,0,42:125,p,width,628,129.125,"Width mismatch: expected 628px, got 129.125px",artifacts/issue-shots/issue-42-125.png
DIFFERENT,0,0,42:125,p,height,73,32,"Height mismatch: expected 73px, got 32px",artifacts/issue-shots/issue-42-125.png
DIFFERENT,0,0,42:125,p,fontSize,60,24,"Font size mismatch: expected 60px, got 24px",artifacts/issue-shots/issue-42-125.png
DIFFERENT,Customer Tickets,Customer Tickets,4:2087,p,width,1050,841,"Width mismatch: expected 1050px, got 841px",artifacts/issue-shots/issue-4-2087.png
DIFFERENT,Customer Tickets,Customer Tickets,4:2087,p,height,26,40,"Height mismatch: expected 26px, got 40px",artifacts/issue-shots/issue-4-2087.png
DIFFERENT,Customer Tickets,Customer Tickets,4:2087,p,fontSize,24,36,"Font size mismatch: expected 24px, got 36px",artifacts/issue-shots/issue-4-2087.png
DIFFERENT,Login Issues - Can't Access Account,Login Issues - Can't Access Account,4:2095,h2,width,383,182.25,"Width mismatch: expected 383px, got 182.25px",
DIFFERENT,Login Issues - Can't Access Account,Login Issues - Can't Access Account,4:2095,h2,height,22,54,"Height mismatch: expected 22px, got 54px",
DIFFERENT,Open,Open,4:2372,p,width,42,58.03125,"Width mismatch: expected 42px, got 58.03125px",artifacts/issue-shots/issue-4-2372.png
DIFFERENT,Open,Open,4:2372,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-4-2372.png
DIFFERENT,Customer is unable to log in to their account. They've tried resetting their password multiple times but still...,Customer is unable to log in to their account. They've tried resetting their password multiple times but still...,4:2097,p,width,481,364.5,"Width mismatch: expected 481px, got 364.5px",artifacts/issue-shots/issue-4-2097.png
DIFFERENT,Customer is unable to log in to their account. They've tried resetting their password multiple times but still...,Customer is unable to log in to their account. They've tried resetting their password multiple times but still...,4:2097,p,height,36,42,"Height mismatch: expected 36px, got 42px",artifacts/issue-shots/issue-4-2097.png
DIFFERENT,Customer is unable to log in to their account. They've tried resetting their password multiple times but still...,Customer is unable to log in to their account. They've tried resetting their password multiple times but still...,4:2097,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-4-2097.png
DIFFERENT,#1001,#1001,4:2374,p,width,41,38.46875,"Width mismatch: expected 41px, got 38.46875px",artifacts/issue-shots/issue-4-2374.png
DIFFERENT,#1001,#1001,4:2374,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2374.png
MISSING_IN_DOM,HIGH PRIORITY,HIGH PRIORITY,4:2376,,,,,Text exists in Figma but not found on page,
DIFFERENT,John Smith,John Smith,4:2377,p,width,75,68.4375,"Width mismatch: expected 75px, got 68.4375px",artifacts/issue-shots/issue-4-2377.png
DIFFERENT,John Smith,John Smith,4:2377,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2377.png
DIFFERENT,1/15/2024,1/15/2024,4:2383,p,width,66,95.75,"Width mismatch: expected 66px, got 95.75px",artifacts/issue-shots/issue-4-2383.png
DIFFERENT,1/15/2024,1/15/2024,4:2383,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2383.png
DIFFERENT,Unable to Download Invoice,Unable to Download Invoice,4:2392,h2,width,331,182.25,"Width mismatch: expected 331px, got 182.25px",
DIFFERENT,Unable to Download Invoice,Unable to Download Invoice,4:2392,h2,height,22,54,"Height mismatch: expected 22px, got 54px",
MISSING_IN_DOM,In- Progress,In- Progress,4:2396,,,,,Text exists in Figma but not found on page,
DIFFERENT,Customer cannot download their January invoice from the billing section. The download button is...,Customer cannot download their January invoice from the billing section. The download button is...,4:2398,p,width,481,364.5,"Width mismatch: expected 481px, got 364.5px",artifacts/issue-shots/issue-4-2398.png
DIFFERENT,Customer cannot download their January invoice from the billing section. The download button is...,Customer cannot download their January invoice from the billing section. The download button is...,4:2398,p,height,36,42,"Height mismatch: expected 36px, got 42px",artifacts/issue-shots/issue-4-2398.png
DIFFERENT,Customer cannot download their January invoice from the billing section. The download button is...,Customer cannot download their January invoice from the billing section. The download button is...,4:2398,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-4-2398.png
DIFFERENT,#1003,#1003,4:2400,p,width,43,38.46875,"Width mismatch: expected 43px, got 38.46875px",artifacts/issue-shots/issue-4-2400.png
DIFFERENT,#1003,#1003,4:2400,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2400.png
MISSING_IN_DOM,MEDIUM PRIORITY,MEDIUM PRIORITY,4:2401,,,,,Text exists in Figma but not found on page,
DIFFERENT,Michael Brown,Michael Brown,4:2406,p,width,97,91.171875,"Width mismatch: expected 97px, got 91.171875px",artifacts/issue-shots/issue-4-2406.png
DIFFERENT,Michael Brown,Michael Brown,4:2406,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2406.png
DIFFERENT,1/17/2024,1/17/2024,4:2410,p,width,66,95.75,"Width mismatch: expected 66px, got 95.75px",artifacts/issue-shots/issue-4-2410.png
DIFFERENT,1/17/2024,1/17/2024,4:2410,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2410.png
DIFFERENT,App Crash on Launch,App Crash on Launch,4:2416,h2,width,383,182.25,"Width mismatch: expected 383px, got 182.25px",
DIFFERENT,App Crash on Launch,App Crash on Launch,4:2416,h2,height,22,27,"Height mismatch: expected 22px, got 27px",
DIFFERENT,Open,Open,4:2420,p,width,42,58.03125,"Width mismatch: expected 42px, got 58.03125px",artifacts/issue-shots/issue-4-2420.png
DIFFERENT,Open,Open,4:2420,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-4-2420.png
DIFFERENT,Customer reports that the mobile app crashes immediately upon opening on Android 13.,Customer reports that the mobile app crashes immediately upon opening on Android 13.,4:2422,p,width,481,364.5,"Width mismatch: expected 481px, got 364.5px",artifacts/issue-shots/issue-4-2422.png
DIFFERENT,Customer reports that the mobile app crashes immediately upon opening on Android 13.,Customer reports that the mobile app crashes immediately upon opening on Android 13.,4:2422,p,height,36,42,"Height mismatch: expected 36px, got 42px",artifacts/issue-shots/issue-4-2422.png
DIFFERENT,Customer reports that the mobile app crashes immediately upon opening on Android 13.,Customer reports that the mobile app crashes immediately upon opening on Android 13.,4:2422,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-4-2422.png
DIFFERENT,#1005,#1005,4:2424,p,width,43,38.46875,"Width mismatch: expected 43px, got 38.46875px",artifacts/issue-shots/issue-4-2424.png
DIFFERENT,#1005,#1005,4:2424,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2424.png
MISSING_IN_DOM,HIGH PRIORITY,HIGH PRIORITY,4:2425,,,,,Text exists in Figma but not found on page,
DIFFERENT,David Wilson,David Wilson,4:2430,p,width,86,81.046875,"Width mismatch: expected 86px, got 81.046875px",artifacts/issue-shots/issue-4-2430.png
DIFFERENT,David Wilson,David Wilson,4:2430,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2430.png
DIFFERENT,1/19/2024,1/19/2024,4:2434,p,width,67,95.75,"Width mismatch: expected 67px, got 95.75px",artifacts/issue-shots/issue-4-2434.png
DIFFERENT,1/19/2024,1/19/2024,4:2434,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2434.png
DIFFERENT,Two-Factor Authentication Issue,Two-Factor Authentication Issue,4:2440,h2,width,383,182.25,"Width mismatch: expected 383px, got 182.25px",
DIFFERENT,Two-Factor Authentication Issue,Two-Factor Authentication Issue,4:2440,h2,height,22,54,"Height mismatch: expected 22px, got 54px",
DIFFERENT,Open,Open,4:2444,p,width,42,58.03125,"Width mismatch: expected 42px, got 58.03125px",artifacts/issue-shots/issue-4-2444.png
DIFFERENT,Open,Open,4:2444,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-4-2444.png
DIFFERENT,Customer is not receiving 2FA codes on their registered phone number.,Customer is not receiving 2FA codes on their registered phone number.,4:2446,p,width,481,364.5,"Width mismatch: expected 481px, got 364.5px",artifacts/issue-shots/issue-4-2446.png
DIFFERENT,Customer is not receiving 2FA codes on their registered phone number.,Customer is not receiving 2FA codes on their registered phone number.,4:2446,p,height,36,42,"Height mismatch: expected 36px, got 42px",artifacts/issue-shots/issue-4-2446.png
DIFFERENT,Customer is not receiving 2FA codes on their registered phone number.,Customer is not receiving 2FA codes on their registered phone number.,4:2446,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-4-2446.png
DIFFERENT,#1007,#1007,4:2448,p,width,42,38.46875,"Width mismatch: expected 42px, got 38.46875px",artifacts/issue-shots/issue-4-2448.png
DIFFERENT,#1007,#1007,4:2448,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2448.png
MISSING_IN_DOM,HIGH PRIORITY,HIGH PRIORITY,4:2449,,,,,Text exists in Figma but not found on page,
DIFFERENT,James Anderson,James Anderson,4:2454,p,width,111,100.734375,"Width mismatch: expected 111px, got 100.734375px",artifacts/issue-shots/issue-4-2454.png
DIFFERENT,James Anderson,James Anderson,4:2454,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2454.png
DIFFERENT,1/21/2024,1/21/2024,4:2458,p,width,66,95.75,"Width mismatch: expected 66px, got 95.75px",artifacts/issue-shots/issue-4-2458.png
DIFFERENT,1/21/2024,1/21/2024,4:2458,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2458.png
DIFFERENT,Subscription Auto-Renewal,Subscription Auto-Renewal,4:2464,h2,width,331,182.25,"Width mismatch: expected 331px, got 182.25px",
DIFFERENT,Subscription Auto-Renewal,Subscription Auto-Renewal,4:2464,h2,height,22,54,"Height mismatch: expected 22px, got 54px",
MISSING_IN_DOM,In- Progress,In- Progress,4:2468,,,,,Text exists in Figma but not found on page,
DIFFERENT,Customer wants to enable auto-renewal for their subscription but the toggle is disabled.,Customer wants to enable auto-renewal for their subscription but the toggle is disabled.,4:2470,p,width,481,364.5,"Width mismatch: expected 481px, got 364.5px",artifacts/issue-shots/issue-4-2470.png
DIFFERENT,Customer wants to enable auto-renewal for their subscription but the toggle is disabled.,Customer wants to enable auto-renewal for their subscription but the toggle is disabled.,4:2470,p,height,36,42,"Height mismatch: expected 36px, got 42px",artifacts/issue-shots/issue-4-2470.png
DIFFERENT,Customer wants to enable auto-renewal for their subscription but the toggle is disabled.,Customer wants to enable auto-renewal for their subscription but the toggle is disabled.,4:2470,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-4-2470.png
DIFFERENT,#1009,#1009,4:2472,p,width,43,38.46875,"Width mismatch: expected 43px, got 38.46875px",artifacts/issue-shots/issue-4-2472.png
DIFFERENT,#1009,#1009,4:2472,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2472.png
MISSING_IN_DOM,MEDIUM PRIORITY,MEDIUM PRIORITY,4:2473,,,,,Text exists in Figma but not found on page,
DIFFERENT,Liam Thomas,Liam Thomas,4:2478,p,width,89,81.59375,"Width mismatch: expected 89px, got 81.59375px",artifacts/issue-shots/issue-4-2478.png
DIFFERENT,Liam Thomas,Liam Thomas,4:2478,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2478.png
DIFFERENT,1/17/2024,1/17/2024,4:2482,p,width,66,95.75,"Width mismatch: expected 66px, got 95.75px",artifacts/issue-shots/issue-4-2482.png
DIFFERENT,1/17/2024,1/17/2024,4:2482,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2482.png
DIFFERENT,Payment Failed - Card Declined,Payment Failed - Card Declined,4:2731,h2,width,383,182.25,"Width mismatch: expected 383px, got 182.25px",
DIFFERENT,Payment Failed - Card Declined,Payment Failed - Card Declined,4:2731,h2,height,22,54,"Height mismatch: expected 22px, got 54px",
DIFFERENT,Open,Open,4:2735,p,width,42,58.03125,"Width mismatch: expected 42px, got 58.03125px",artifacts/issue-shots/issue-4-2735.png
DIFFERENT,Open,Open,4:2735,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-4-2735.png
DIFFERENT,Customer attempted to pay using Visa ending 1234 but the payment keeps failing despite sufficient balance.,Customer attempted to pay using Visa ending 1234 but the payment keeps failing despite sufficient balance.,4:2737,p,width,481,364.5,"Width mismatch: expected 481px, got 364.5px",artifacts/issue-shots/issue-4-2737.png
DIFFERENT,Customer attempted to pay using Visa ending 1234 but the payment keeps failing despite sufficient balance.,Customer attempted to pay using Visa ending 1234 but the payment keeps failing despite sufficient balance.,4:2737,p,height,36,42,"Height mismatch: expected 36px, got 42px",artifacts/issue-shots/issue-4-2737.png
DIFFERENT,Customer attempted to pay using Visa ending 1234 but the payment keeps failing despite sufficient balance.,Customer attempted to pay using Visa ending 1234 but the payment keeps failing despite sufficient balance.,4:2737,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-4-2737.png
DIFFERENT,#1002,#1002,4:2739,p,width,43,38.46875,"Width mismatch: expected 43px, got 38.46875px",artifacts/issue-shots/issue-4-2739.png
DIFFERENT,#1002,#1002,4:2739,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2739.png
MISSING_IN_DOM,HIGH PRIORITY,HIGH PRIORITY,4:2740,,,,,Text exists in Figma but not found on page,
DIFFERENT,Sarah Johnson,Sarah Johnson,4:2745,p,width,99,89.421875,"Width mismatch: expected 99px, got 89.421875px",artifacts/issue-shots/issue-4-2745.png
DIFFERENT,Sarah Johnson,Sarah Johnson,4:2745,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2745.png
DIFFERENT,1/16/2024,1/16/2024,4:2749,p,width,67,95.75,"Width mismatch: expected 67px, got 95.75px",artifacts/issue-shots/issue-4-2749.png
DIFFERENT,1/16/2024,1/16/2024,4:2749,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2749.png
DIFFERENT,Incorrect Billing Address,Incorrect Billing Address,4:2851,h2,width,383,182.25,"Width mismatch: expected 383px, got 182.25px",
DIFFERENT,Incorrect Billing Address,Incorrect Billing Address,4:2851,h2,height,22,54,"Height mismatch: expected 22px, got 54px",
DIFFERENT,Open,Open,4:2855,p,width,42,58.03125,"Width mismatch: expected 42px, got 58.03125px",artifacts/issue-shots/issue-4-2855.png
DIFFERENT,Open,Open,4:2855,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-4-2855.png
DIFFERENT,Customer’s billing address shows a different city. They updated it but it still displays the old one.,Customer’s billing address shows a different city. They updated it but it still displays the old one.,4:2857,p,width,481,364.5,"Width mismatch: expected 481px, got 364.5px",artifacts/issue-shots/issue-4-2857.png
DIFFERENT,Customer’s billing address shows a different city. They updated it but it still displays the old one.,Customer’s billing address shows a different city. They updated it but it still displays the old one.,4:2857,p,height,36,42,"Height mismatch: expected 36px, got 42px",artifacts/issue-shots/issue-4-2857.png
DIFFERENT,Customer’s billing address shows a different city. They updated it but it still displays the old one.,Customer’s billing address shows a different city. They updated it but it still displays the old one.,4:2857,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-4-2857.png
DIFFERENT,#1004,#1004,4:2859,p,width,43,38.46875,"Width mismatch: expected 43px, got 38.46875px",artifacts/issue-shots/issue-4-2859.png
DIFFERENT,#1004,#1004,4:2859,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2859.png
MISSING_IN_DOM,LOW PRIORITY,LOW PRIORITY,4:2860,,,,,Text exists in Figma but not found on page,
DIFFERENT,Emily Davis,Emily Davis,4:2865,p,width,76,69.515625,"Width mismatch: expected 76px, got 69.515625px",artifacts/issue-shots/issue-4-2865.png
DIFFERENT,Emily Davis,Emily Davis,4:2865,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2865.png
DIFFERENT,1/18/2024,1/18/2024,4:2869,p,width,67,95.75,"Width mismatch: expected 67px, got 95.75px",artifacts/issue-shots/issue-4-2869.png
DIFFERENT,1/18/2024,1/18/2024,4:2869,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2869.png
DIFFERENT,Refund Not Processed,Refund Not Processed,4:2755,h2,width,331,182.25,"Width mismatch: expected 331px, got 182.25px",
DIFFERENT,Refund Not Processed,Refund Not Processed,4:2755,h2,height,22,27,"Height mismatch: expected 22px, got 27px",
MISSING_IN_DOM,In- Progress,In- Progress,4:2759,,,,,Text exists in Figma but not found on page,
DIFFERENT,Customer requested a refund two weeks ago but has not received the amount yet.,Customer requested a refund two weeks ago but has not received the amount yet.,4:2761,p,width,481,364.5,"Width mismatch: expected 481px, got 364.5px",artifacts/issue-shots/issue-4-2761.png
DIFFERENT,Customer requested a refund two weeks ago but has not received the amount yet.,Customer requested a refund two weeks ago but has not received the amount yet.,4:2761,p,height,36,42,"Height mismatch: expected 36px, got 42px",artifacts/issue-shots/issue-4-2761.png
DIFFERENT,Customer requested a refund two weeks ago but has not received the amount yet.,Customer requested a refund two weeks ago but has not received the amount yet.,4:2761,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-4-2761.png
DIFFERENT,#1006,#1006,4:2763,p,width,43,38.46875,"Width mismatch: expected 43px, got 38.46875px",artifacts/issue-shots/issue-4-2763.png
DIFFERENT,#1006,#1006,4:2763,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2763.png
MISSING_IN_DOM,MEDIUM PRIORITY,MEDIUM PRIORITY,4:2764,,,,,Text exists in Figma but not found on page,
DIFFERENT,Sophia Taylor,Sophia Taylor,4:2769,p,width,90,82.265625,"Width mismatch: expected 90px, got 82.265625px",artifacts/issue-shots/issue-4-2769.png
DIFFERENT,Sophia Taylor,Sophia Taylor,4:2769,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2769.png
DIFFERENT,1/20/2024,1/20/2024,4:2773,p,width,69,95.75,"Width mismatch: expected 69px, got 95.75px",artifacts/issue-shots/issue-4-2773.png
DIFFERENT,1/20/2024,1/20/2024,4:2773,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2773.png
DIFFERENT,Unable to Update Profile Picture,Unable to Update Profile Picture,4:2779,h2,width,383,182.25,"Width mismatch: expected 383px, got 182.25px",
DIFFERENT,Unable to Update Profile Picture,Unable to Update Profile Picture,4:2779,h2,height,22,54,"Height mismatch: expected 22px, got 54px",
DIFFERENT,Open,Open,4:2783,p,width,42,58.03125,"Width mismatch: expected 42px, got 58.03125px",artifacts/issue-shots/issue-4-2783.png
DIFFERENT,Open,Open,4:2783,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-4-2783.png
DIFFERENT,Customer tries to upload a new profile picture but gets 'Upload failed' error.,Customer tries to upload a new profile picture but gets 'Upload failed' error.,4:2785,p,width,481,364.5,"Width mismatch: expected 481px, got 364.5px",artifacts/issue-shots/issue-4-2785.png
DIFFERENT,Customer tries to upload a new profile picture but gets 'Upload failed' error.,Customer tries to upload a new profile picture but gets 'Upload failed' error.,4:2785,p,height,36,42,"Height mismatch: expected 36px, got 42px",artifacts/issue-shots/issue-4-2785.png
DIFFERENT,Customer tries to upload a new profile picture but gets 'Upload failed' error.,Customer tries to upload a new profile picture but gets 'Upload failed' error.,4:2785,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-4-2785.png
DIFFERENT,#1008,#1008,4:2787,p,width,43,38.46875,"Width mismatch: expected 43px, got 38.46875px",artifacts/issue-shots/issue-4-2787.png
DIFFERENT,#1008,#1008,4:2787,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2787.png
MISSING_IN_DOM,LOW PRIORITY,LOW PRIORITY,4:2870,,,,,Text exists in Figma but not found on page,
DIFFERENT,Olivia Martinez,Olivia Martinez,4:2793,p,width,99,92.671875,"Width mismatch: expected 99px, got 92.671875px",artifacts/issue-shots/issue-4-2793.png
DIFFERENT,Olivia Martinez,Olivia Martinez,4:2793,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2793.png
DIFFERENT,1/22/2024,1/22/2024,4:2797,p,width,68,95.75,"Width mismatch: expected 68px, got 95.75px",artifacts/issue-shots/issue-4-2797.png
DIFFERENT,1/22/2024,1/22/2024,4:2797,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2797.png
DIFFERENT,Missing Order Confirmation Email,Missing Order Confirmation Email,4:2803,h2,width,383,182.25,"Width mismatch: expected 383px, got 182.25px",
DIFFERENT,Missing Order Confirmation Email,Missing Order Confirmation Email,4:2803,h2,height,22,54,"Height mismatch: expected 22px, got 54px",
DIFFERENT,Open,Open,4:2807,p,width,42,58.03125,"Width mismatch: expected 42px, got 58.03125px",artifacts/issue-shots/issue-4-2807.png
DIFFERENT,Open,Open,4:2807,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-4-2807.png
DIFFERENT,Customer placed an order but didn't receive a confirmation email even though payment succeeded.,Customer placed an order but didn't receive a confirmation email even though payment succeeded.,4:2809,p,width,481,364.5,"Width mismatch: expected 481px, got 364.5px",artifacts/issue-shots/issue-4-2809.png
DIFFERENT,Customer placed an order but didn't receive a confirmation email even though payment succeeded.,Customer placed an order but didn't receive a confirmation email even though payment succeeded.,4:2809,p,height,36,42,"Height mismatch: expected 36px, got 42px",artifacts/issue-shots/issue-4-2809.png
DIFFERENT,Customer placed an order but didn't receive a confirmation email even though payment succeeded.,Customer placed an order but didn't receive a confirmation email even though payment succeeded.,4:2809,p,fontSize,16,14,"Font size mismatch: expected 16px, got 14px",artifacts/issue-shots/issue-4-2809.png
DIFFERENT,#1010,#1010,4:2811,p,width,41,38.46875,"Width mismatch: expected 41px, got 38.46875px",artifacts/issue-shots/issue-4-2811.png
DIFFERENT,#1010,#1010,4:2811,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2811.png
MISSING_IN_DOM,MEDIUM PRIORITY,MEDIUM PRIORITY,4:2873,,,,,Text exists in Figma but not found on page,
DIFFERENT,Isabella Garcia,Isabella Garcia,4:2817,p,width,97,88.65625,"Width mismatch: expected 97px, got 88.65625px",artifacts/issue-shots/issue-4-2817.png
DIFFERENT,Isabella Garcia,Isabella Garcia,4:2817,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2817.png
DIFFERENT,1/24/2024,1/24/2024,4:2821,p,width,69,95.75,"Width mismatch: expected 69px, got 95.75px",artifacts/issue-shots/issue-4-2821.png
DIFFERENT,1/24/2024,1/24/2024,4:2821,p,height,22,24,"Height mismatch: expected 22px, got 24px",artifacts/issue-shots/issue-4-2821.png
DIFFERENT,Task Status,Task Status,4:2877,p,width,358,267,"Width mismatch: expected 358px, got 267px",artifacts/issue-shots/issue-4-2877.png
DIFFERENT,Task Status,Task Status,4:2877,p,height,26,40,"Height mismatch: expected 26px, got 40px",artifacts/issue-shots/issue-4-2877.png
DIFFERENT,Task Status,Task Status,4:2877,p,fontSize,24,36,"Font size mismatch: expected 24px, got 36px",artifacts/issue-shots/issue-4-2877.png
DIFFERENT,Select a ticket to add to Task Status,Select a ticket to add to Task Status,4:3123,div,width,358,267,"Width mismatch: expected 358px, got 267px",artifacts/issue-shots/issue-4-3123.png
DIFFERENT,Select a ticket to add to Task Status,Select a ticket to add to Task Status,4:3123,div,height,18,24,"Height mismatch: expected 18px, got 24px",artifacts/issue-shots/issue-4-3123.png
DIFFERENT,Resolved Task,Resolved Task,4:3127,p,width,358,267,"Width mismatch: expected 358px, got 267px",artifacts/issue-shots/issue-4-3127.png
DIFFERENT,Resolved Task,Resolved Task,4:3127,p,height,26,40,"Height mismatch: expected 26px, got 40px",artifacts/issue-shots/issue-4-3127.png
DIFFERENT,Resolved Task,Resolved Task,4:3127,p,fontSize,24,36,"Font size mismatch: expected 24px, got 36px",artifacts/issue-shots/issue-4-3127.png
DIFFERENT,No resolved tasks yet.,No resolved tasks yet.,4:3128,div,width,358,267,"Width mismatch: expected 358px, got 267px",artifacts/issue-shots/issue-4-3128.png
DIFFERENT,No resolved tasks yet.,No resolved tasks yet.,4:3128,div,height,18,24,"Height mismatch: expected 18px, got 24px",artifacts/issue-shots/issue-4-3128.png
DIFFERENT,CS — Ticket System,CS — Ticket System,41:1353,div,width,350,830.875,"Width mismatch: expected 350px, got 830.875px",artifacts/issue-shots/issue-41-1353.png
